,Probe,RS,FS,Other
0,NP34_B2_0,0.2824427480916031,0.4045801526717557,0.3129770992366412
1,NP34_B3_0,0.0,0.6428571428571429,0.3571428571428571
2,NP35_B2_0,0.4588235294117647,0.1588235294117647,0.3823529411764705
5,NP66_B1_0,0.7021276595744681,0.0957446808510638,0.202127659574468
6,NP66_B1_1,0.3230769230769231,0.3,0.3769230769230769
7,NP66_B2_0,0.712707182320442,0.1657458563535911,0.1215469613259668
8,NP66_B2_1,0.1534391534391534,0.5343915343915344,0.3121693121693121
3,NP86_B1_0,0.8064516129032258,0.053763440860215,0.1397849462365591
4,NP86_B1_1,0.8733333333333333,0.04,0.0866666666666666
